City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,polyarnyy,69.1989,33.4478,15.7,64,16,11.69,RU,1720336334
1,al majaridah,19.1236,41.9111,37.11,19,100,2.8,SA,1720336334
2,bredasdorp,-34.5322,20.0403,10.68,79,23,5.47,ZA,1720336334
3,bilibino,68.0546,166.4372,7.91,88,100,1.93,RU,1720336334
4,port-aux-francais,-49.35,70.2167,0.82,74,73,12.27,TF,1720336335
5,edinburgh of the seven seas,-37.0676,-12.3116,12.83,88,100,19.97,SH,1720336335
6,cidade velha,14.9167,-23.6167,23.26,83,40,0.51,CV,1720336335
7,koryazhma,61.3143,47.1691,21.74,45,0,3.03,RU,1720336335
8,adamstown,-25.066,-130.1015,20.15,68,100,10.7,PN,1720336335
9,margaret river,-33.95,115.0667,15.84,55,86,8.66,AU,1720336162
10,west island,-12.1568,96.8225,28.99,79,40,8.23,CC,1720336336
11,punta arenas,-53.15,-70.9167,-1.94,93,75,4.12,CL,1720336337
12,akureyri,65.6835,-18.0878,4.96,87,100,2.06,IS,1720336337
13,shiloh,38.5614,-89.8973,22.5,87,0,0.0,US,1720336337
14,benguela,-12.5763,13.4055,21.04,78,9,1.19,AO,1720336337
15,albany,42.6001,-73.9662,21.55,83,21,1.49,US,1720336337
16,port elizabeth,-33.918,25.5701,19.16,22,0,1.03,ZA,1720336338
17,ixtapa,20.7,-105.2,27.35,85,100,0.53,MX,1720336338
18,anadyr,64.75,177.4833,13.28,76,100,6.0,RU,1720336338
19,bethel,41.3712,-73.414,24.17,90,100,0.0,US,1720336338
20,hawaiian paradise park,19.5933,-154.9731,23.74,83,100,2.06,US,1720336338
21,hasaki,35.7333,140.8333,36.27,82,100,4.68,JP,1720336338
22,college,64.8569,-147.8028,9.99,88,75,3.09,US,1720336339
23,whitehorse,60.7161,-135.0538,11.72,80,75,2.15,CA,1720336280
24,banda aceh,5.5577,95.3222,26.67,81,100,5.32,ID,1720336339
25,hithadhoo,-0.6,73.0833,28.8,73,99,4.78,MV,1720336280
26,carnarvon,-24.8667,113.6333,19.09,83,98,2.36,AU,1720336339
27,fort mcmurray,56.7268,-111.381,16.77,77,100,2.06,CA,1720336339
28,puerto natales,-51.7236,-72.4875,0.45,97,100,0.95,CL,1720336340
29,isafjordur,66.0755,-23.124,8.33,58,66,1.18,IS,1720336340
30,shevchenkove,49.6959,37.1735,24.24,45,0,6.42,UA,1720336340
31,tolanaro,-25.0319,46.9987,23.04,56,20,7.2,MG,1720336340
32,toliara,-23.35,43.6667,22.93,50,1,3.66,MG,1720336340
33,hayvoron,48.3396,29.8679,26.01,35,47,2.88,UA,1720336340
34,tsiombe,-25.3,45.4833,21.98,54,7,6.03,MG,1720336341
35,yellowknife,62.456,-114.3525,11.61,74,72,1.57,CA,1720336269
36,padampur,29.6833,73.6167,35.78,52,78,5.86,IN,1720336341
37,battambang,13.1027,103.1982,34.86,48,100,1.77,KH,1720336341
38,ushuaia,-54.8,-68.3,-6.47,88,86,2.43,AR,1720336341
39,ust-nera,64.5667,143.2,7.32,96,100,2.07,RU,1720336341
40,mecca,21.4267,39.8261,38.2,15,100,2.69,SA,1720336342
41,sinabang,2.4803,96.3801,30.64,63,41,3.8,ID,1720336342
42,ilulissat,69.2167,-51.1,5.01,93,20,0.0,GL,1720336342
43,n'zeto,-7.2312,12.8666,22.32,80,90,2.98,AO,1720336342
44,bathsheba,13.2167,-59.5167,28.34,78,20,6.69,BB,1720336342
45,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,67,0,4.0,RU,1720336342
46,los chavez,34.727,-106.7384,25.97,12,0,2.01,US,1720336343
47,klyuchi,52.2667,79.1667,28.07,40,60,2.78,RU,1720336343
48,corner brook,48.9667,-57.9484,16.09,99,100,1.47,CA,1720336343
49,marang,5.2056,103.2059,30.44,67,80,3.61,MY,1720336343
50,port alfred,-33.5906,26.891,18.18,27,98,4.77,ZA,1720336343
51,tiksi,71.6872,128.8694,4.82,71,37,3.04,RU,1720336343
52,dunedin,-45.8742,170.5036,9.89,74,97,5.81,NZ,1720336066
53,ninghai,29.2892,121.4247,33.52,62,35,4.83,CN,1720336344
54,xinyuan,37.3,99.0,14.71,62,98,1.86,CN,1720336344
55,sitka,57.0531,-135.33,12.94,76,75,4.63,US,1720336166
56,gamay,12.3854,125.2979,30.5,68,100,3.04,PH,1720336344
57,waitangi,-43.9535,-176.5597,7.12,84,22,4.92,NZ,1720336345
58,yuzhno-kurilsk,44.0306,145.8556,15.0,98,100,3.07,RU,1720336345
59,port mathurin,-19.6833,63.4167,23.25,75,60,7.58,MU,1720336345
60,notodden,59.5594,9.2585,14.18,89,100,1.9,NO,1720336345
61,grytviken,-54.2811,-36.5092,-3.54,67,20,2.79,GS,1720336345
62,udachny,66.4167,112.4,24.5,49,100,3.86,RU,1720336345
63,kodiak,57.79,-152.4072,11.73,82,0,3.09,US,1720336345
64,kapuskasing,49.4169,-82.4331,17.0,82,0,2.06,CA,1720336346
65,port macquarie,-31.4333,152.9167,15.5,91,67,0.45,AU,1720336195
66,qaqortoq,60.7167,-46.0333,4.05,98,96,0.44,GL,1720336346
67,nguigmi,14.2495,13.1092,29.77,55,98,6.45,NE,1720336346
68,kununurra,-15.7667,128.7333,31.99,33,30,2.57,AU,1720336315
69,panaba,21.2833,-88.2667,24.09,95,100,2.22,MX,1720336346
70,zhangjiakou,40.81,114.8794,29.84,33,100,1.07,CN,1720336346
71,iskateley,67.6803,53.1512,15.26,77,100,5.25,RU,1720336347
72,sur,22.5667,59.5289,40.35,27,73,1.58,OM,1720336347
73,ta`u,-14.2336,-169.5144,27.29,78,22,2.52,AS,1720336347
74,novyy urengoy,66.0833,76.6333,19.54,49,9,6.55,RU,1720336347
75,bamboo flat,11.7,92.7167,31.05,74,40,5.14,IN,1720336347
76,alice springs,-23.7,133.8833,21.75,49,20,2.06,AU,1720336263
77,binghamton,42.0987,-75.918,20.51,90,0,1.54,US,1720336348
78,trinidad,-14.8333,-64.9,19.88,55,100,1.76,BO,1720336348
79,blackmans bay,-43.0167,147.3167,7.07,90,2,0.8,AU,1720336348
80,victorica,-36.2151,-65.4359,1.24,49,5,2.07,AR,1720336348
81,avarua,-21.2078,-159.775,26.03,94,75,3.09,CK,1720336260
82,ribeira grande,38.5167,-28.7,22.65,94,40,4.63,PT,1720336348
83,ariano irpino-martiri,41.1489,15.0833,22.75,39,0,2.13,IT,1720336349
84,amga,60.8953,131.9608,21.11,48,79,1.76,RU,1720336349
85,filingue,14.3521,3.3168,29.44,56,97,6.64,NE,1720336349
86,iqaluit,63.7506,-68.5145,3.85,86,75,0.0,CA,1720336349
87,covington,39.0837,-84.5086,20.26,91,0,2.06,US,1720336349
88,bayganin,48.6947,55.8742,30.38,40,0,6.08,KZ,1720336350
89,gunjur,13.2019,-16.7339,26.04,89,75,1.54,GM,1720336350
90,tofol,5.3248,163.0078,25.88,94,100,1.03,FM,1720336350
